,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NBA 2K League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Season 1 Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Season Totals,,,,,,,,,,,,,,,,,,,,,,,,,,Per Game Stats,,,,,,,,,,,,,,,,,,,,,,,
,,Team,Gamertag,Event,GP,PTS,AST,TO,AST/TO,STL,BLK,REB,OREB,DREB,FGA,FGM,FG%,eFG%,2FGA,2FGM,2FG%,3FGA,3FGM,3FG%,FTA,FTM,FT%,PF TKN,PF,,PPG,APG,TO PG,AST/TO,STL PG,BLK PG,RPG,OREB PG,DREB PG,FGA PG,FGM PG,FG%,eFG%,2FGA PG,2FGM PG,2FG%,3FGA PG,3FGM PG,3FG%,FTA PG,FTM PG,FT%,PF TKN PG,PF PG
,,Raptors Uprising GC,AllHailTrey,Mid-Season Tournament 2,1 ,22 ,2 ,– ,– ,1 ,1 ,2 ,– ,2 ,16 ,9 ,56% ,69% ,8 ,5 ,63% ,8 ,4 ,50% ,– ,– ,-,1 ,2 ,,22.0 ,2.0 ,– ,– ,1.0 ,1.0 ,2.0 ,– ,2.0 ,16.0 ,9.0 ,56% ,69% ,8.0 ,5.0 ,63% ,8.0 ,4.0 ,50% ,– ,– ,-,1.0 ,2.0 
,,Raptors Uprising GC,AllHailTrey,Mid-Season Tournament 1,2 ,28 ,2 ,2 ,1.0 ,– ,– ,1 ,– ,1 ,15 ,10 ,67% ,93% ,2 ,2 ,100% ,13 ,8 ,62% ,– ,– ,-,1 ,1 ,,14.0 ,1.0 ,1.0 ,1.0 ,– ,– ,0.5 ,– ,0.5 ,7.5 ,5.0 ,67% ,93% ,1.0 ,1.0 ,100% ,6.5 ,4.0 ,62% ,– ,– ,-,0.5 ,0.5 
,,Celtics Crossover Gaming,Ars0nalX,Tip Off,4 ,87 ,4 ,8 ,0.5 ,8 ,4 ,52 ,22 ,30 ,62 ,40 ,65% ,65% ,62 ,40 ,65% ,– ,– ,-,7 ,7 ,100% ,3 ,6 ,,21.8 ,1.0 ,2.0 ,0.5 ,2.0 ,1.0 ,13.0 ,5.5 ,7.5 ,15.5 ,10.0 ,65% ,65% ,15.5 ,10.0 ,65% ,– ,– ,-,1.8 ,1.8 ,100% ,0.8 ,1.5 
,,Celtics Crossover Gaming,Ars0nalX,Regular Season,14 ,268 ,16 ,21 ,0.8 ,18 ,24 ,152 ,49 ,103 ,180 ,120 ,67% ,67% ,179 ,120 ,67% ,1 ,– ,– ,32 ,28 ,88% ,24 ,37 ,,19.1 ,1.1 ,1.5 ,0.8 ,1.3 ,1.7 ,10.9 ,3.5 ,7.4 ,12.9 ,8.6 ,67% ,67% ,12.8 ,8.6 ,67% ,0.1 ,– ,– ,2.3 ,2.0 ,88% ,1.7 ,2.6 
,,Celtics Crossover Gaming,Ars0nalX,Mid-Season Tournament 2,4 ,58 ,8 ,6 ,1.3 ,5 ,6 ,41 ,15 ,26 ,45 ,27 ,60% ,60% ,45 ,27 ,60% ,– ,– ,-,5 ,4 ,80% ,4 ,20 ,,14.5 ,2.0 ,1.5 ,1.3 ,1.3 ,1.5 ,10.3 ,3.8 ,6.5 ,11.3 ,6.8 ,60% ,60% ,11.3 ,6.8 ,60% ,– ,– ,-,1.3 ,1.0 ,80% ,1.0 ,5.0 
,,Celtics Crossover Gaming,Ars0nalX,Mid-Season Tournament 1,4 ,79 ,8 ,4 ,2.0 ,8 ,6 ,42 ,13 ,29 ,57 ,35 ,61% ,61% ,57 ,35 ,61% ,– ,– ,-,10 ,9 ,90% ,6 ,9 ,,19.8 ,2.0 ,1.0 ,2.0 ,2.0 ,1.5 ,10.5 ,3.3 ,7.3 ,14.3 ,8.8 ,61% ,61% ,14.3 ,8.8 ,61% ,– ,– ,-,2.5 ,2.3 ,90% ,1.5 ,2.3 
,,Grizz Gaming,AuthenticAfrican,Tip Off,4 ,79 ,14 ,11 ,1.3 ,1 ,5 ,38 ,13 ,25 ,62 ,38 ,61% ,61% ,62 ,38 ,61% ,– ,– ,-,3 ,3 ,100% ,3 ,7 ,,19.8 ,3.5 ,2.8 ,1.3 ,0.3 ,1.3 ,9.5 ,3.3 ,6.3 ,15.5 ,9.5 ,61% ,61% ,15.5 ,9.5 ,61% ,– ,– ,-,0.8 ,0.8 ,100% ,0.8 ,1.8 
,,Grizz Gaming,AuthenticAfrican,Regular Season,14 ,400 ,147 ,41 ,3.6 ,20 ,8 ,45 ,14 ,31 ,265 ,182 ,69% ,71% ,238 ,168 ,71% ,27 ,14 ,52% ,34 ,22 ,65% ,59 ,43 ,,28.6 ,10.5 ,2.9 ,3.6 ,1.4 ,0.6 ,3.2 ,1.0 ,2.2 ,18.9 ,13.0 ,69% ,71% ,17.0 ,12.0 ,71% ,1.9 ,1.0 ,52% ,2.4 ,1.6 ,65% ,4.2 ,3.1 
,,Grizz Gaming,AuthenticAfrican,Mid-Season Tournament 2,1 ,21 ,11 ,5 ,2.2 ,– ,– ,3 ,– ,3 ,13 ,9 ,69% ,69% ,13 ,9 ,69% ,– ,– ,-,6 ,3 ,50% ,7 ,– ,,21.0 ,11.0 ,5.0 ,2.2 ,– ,– ,3.0 ,– ,3.0 ,13.0 ,9.0 ,69% ,69% ,13.0 ,9.0 ,69% ,– ,– ,-,6.0 ,3.0 ,50% ,7.0 ,– 
,,Grizz Gaming,AuthenticAfrican,Mid-Season Tournament 1,1 ,28 ,9 ,3 ,3.0 ,2 ,1 ,3 ,– ,3 ,15 ,12 ,80% ,90% ,11 ,9 ,82% ,4 ,3 ,75% ,1 ,1 ,100% ,4 ,3 ,,28.0 ,9.0 ,3.0 ,3.0 ,2.0 ,1.0 ,3.0 ,– ,3.0 ,15.0 ,12.0 ,80% ,90% ,11.0 ,9.0 ,82% ,4.0 ,3.0 ,75% ,1.0 ,1.0 ,100% ,4.0 ,3.0 
,,Grizz Gaming,Ayethreat,Tip Off,3 ,24 ,24 ,12 ,2.0 ,5 ,1 ,2 ,– ,2 ,24 ,9 ,38% ,44% ,16 ,6 ,38% ,8 ,3 ,38% ,3 ,3 ,100% ,7 ,9 ,,8.0 ,8.0 ,4.0 ,2.0 ,1.7 ,0.3 ,0.7 ,– ,0.7 ,8.0 ,3.0 ,38% ,44% ,5.3 ,2.0 ,38% ,2.7 ,1.0 ,38% ,1.0 ,1.0 ,100% ,2.3 ,3.0 
,,Grizz Gaming,Ayethreat,Regular Season,14 ,135 ,22 ,16 ,1.4 ,13 ,– ,11 ,1 ,10 ,99 ,52 ,53% ,63% ,49 ,31 ,63% ,50 ,21 ,42% ,10 ,10 ,100% ,15 ,29 ,,9.6 ,1.6 ,1.1 ,1.4 ,0.9 ,– ,0.8 ,0.1 ,0.7 ,7.1 ,3.7 ,53% ,63% ,3.5 ,2.2 ,63% ,3.6 ,1.5 ,42% ,0.7 ,0.7 ,100% ,1.1 ,2.1 
,,Grizz Gaming,Ayethreat,Mid-Season Tournament 2,1 ,7 ,4 ,1 ,4.0 ,– ,– ,– ,– ,– ,11 ,3 ,27% ,32% ,6 ,2 ,33% ,5 ,1 ,20% ,– ,– ,-,2 ,2 ,,7.0 ,4.0 ,1.0 ,4.0 ,– ,– ,– ,– ,– ,11.0 ,3.0 ,27% ,32% ,6.0 ,2.0 ,33% ,5.0 ,1.0 ,20% ,– ,– ,-,2.0 ,2.0 
